"Name of the college","Affiliated To University","College address","District","State","Status","Year of Estb.","Teaching Upto","Govt or Non Govt","Aided or Unaided"
"Rudauli Educational Institute,  Saraipeer","Saraipeer, Bhelsar,  Ayodhya – 224 116, Uttar Pradesh","Dr. R.M.L. Avadh University  Ayodhya, Uttar Pradesh","","Uttar Pradesh","2(f)","2014","Bachelor's","Non Government","Unaided"
"Rudra College of Law","Choudhary Charan Singh Haryana Agricultural University, Hisar","NH-119, Near Police Chowki, Village-Mawana Khurd, Distt. Meerut - 250 401, Uttar Pradesh","Meerut","Uttar Pradesh","2(f) and 12(B)","2019","Bachelor's","Non Government","Unaided"
"Rudra Institute of Technology","Choudhary Charan Singh University, Meerut","NH – 119, Mawana Khurd, Dist. Meerut – 250 401","Meerut","Uttar Pradesh","2(f) and 12(B)","2010","Bachelor's","Non Government","Unaided"
"Rudragouda Patil Govt. First Grade College","Karnataka University, Dharwad","Bilagi (Dist. Bijapur)","","Karnataka","2(f) and 12(B)","1991","Bachelor's","Government",""
"Rudras College","Raja Mahendra Pratap Singh State University, Aligarh","Chhara, Aligarh-202 130, Uttar Pradesh","Aligarh","Uttar Pradesh","2(f)","2014","Bachelor's","Non Government","Unaided"
"Rukasen College","Assam University, Silchar","P.O. & P.S. – Bakaliaghat, Dist. Karbi Anglong – 782 482","Karbi Anglong","Assam","2(f) and 12(B)","1992","Bachelor's","Non Government","Unaided"
"Rukmadevi Pannalal Laddha Maheshwari College","Devi Ahilya Vishwavidyalaya, Indore","51, Chhatribagh, Indore – 452 002","","Madhya Pradesh","2(f) and 12(B)","1994","Master's","Non Government","Unaided"
"Rukmini Devi Asharfi Lal Verma Shikshan Evam Prashikshan Sansthaan","Siddharth University, Kapilvastu","Paikoliya, Harraiya, Basti - 272 181","Basti","Uttar Pradesh","2(f)","2016","Bachelor's","Non Government","Unaided"
"Rukmini Devi Chilika Mahavidyalaya","Utkal  University,  Bhubaneswar","Chilika Nuapada, Puri","","Odisha","2(f) and 12(B)","1990","Bachelor's","Non Government","Aided"
"Ruma Mahavidyalaya","Dr Ram Manohar Lohia Awadh University, Faizabad","Gobari, Pratapgarh – 230 502","","Uttar Pradesh","2(f) and 12(B)","2008","Bachelor's","Non Government","Unaided"
"Rungta College of Engineering & Technology","Chhattisgarh Swami Vivekanand Technical University, Bhilai","Kohka Road, Kurud, Bhilai – 490 024","","Chhattisgarh","2(f)","1999","Master's","Non Government","Unaided"
"Rungta College of Engineering & Technology","Chhattisgarh Swami Vivekanand Technical University, Bhilai","Ward No.1, Veer Sawarkar Nagar, Near Nandanvan, Raipur - 492 009","Raipur","Chhattisgarh","2(f)","2009","Master's","Non Government","Unaided"
"Rungta College of Pharmaceutical Sciences & Research","Chhattisgarh Swami Vivekanand Technical University, Bhilai","Kohka Road, Kurud, Bhilai – 490 024","","Chhattisgarh","2(f)","2006","Master's","Non Government","Unaided"
"Rungta Engineering College","Chhattisgarh Swami Vivekanand Technical University, Bhilai","Near Nandanvan, Veer Sawarkar Marg, Raipur- 492 099","Raipur","Chhattisgarh","2(f)","2009","Master's","Non Government","Unaided"
"Rupahi College","Gauhati University, Guwahati","Rupahi, Nagaon-782 125","Nagaon","Assam","2(f) and 12(B)","1986","Bachelor's","Non Government",""
"Rural  B.Ed. College","Karnataka University, Dharwad","Plot No. 19 ‘C’, Sattur, Dharwad – 580 009","","Karnataka","2(f)","2005","Bachelor's","Non Government","Unaided"
"Rural College of Education","Kurukshetra University, Kurukshetra","Fatehpur Pundri, Dist. Kaithal","","Haryana","2(f) and 12(B)","1970","Bachelor's","Non Government",""
"Rural Developments Society’s Bachelor of Social Work College","Karnataka University, Dharwad","Laxmi Nagar, Mudalgi-591 312, District Belgaum","","Karnataka","2(f)","2002","Bachelor's","Non Government",""
"Rural Foundation Nandurbar Sanchalit Senior Science College","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Akkalkuwa, Dist. Nandurbar-425 415, Maharashtra","Nandurbar","Maharashtra","12B","2003","Bachelor's","Non Government","Aided"
"Rural Foundation, Nandurbar Sanchalit Senior Science College","Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon","Akkalkuwa, Tal. Akkalkuwa, Dist. Nandurbar - 425 415","Nandurbar","Maharashtra","2(f)","2003","Bachelor's","Non Government","Aided"
"RVS Technical Campus-Coimbatore","Anna University, Chennai","Kumaran Kottam Campus, Kannampalayam, Coimbatore – 641 402","Coimbatore","Tamil Nadu","2(f)","2009","Master's","Non Government","Unaided"
"Ryat Shikshan Sanstha's Arts Science and Commerce College","Mumbai University, Mumbai","Plot No. 292/2 294/O 312/1 314/4 Mokhada Tal. Makhada Dt. Thane","","Maharashtra","2(f) and 12(B)","1984","Bachelor's","Non Government",""
"S. Chandra Mahila Mahavidyalaya","Rashtrasant Tukadoji Maharaj Nagpur  University, Nagpur","S. Chandra Parisar, Tidka Road, Sadak/Arjuni, Dist. Gondia – 441 807, Maharashtra","Gondiya","Maharashtra","2(f)","2008","Bachelor's","Non Government","Unaided"
"S. Jawad Ali Imamdra Girls Degree College","Deen Dayal Upadhyay Gorakhpur University, Gorakhpur","Gorakhpur, District Gorakhpur","","Uttar Pradesh","2(f) and 12(B)","1973","Master's","Non Government",""
"S. K. N. R. Govt. Arts & Sccience College","Kakatiya University, Warangal","Jagtial, District Karimnagar - 505327","","Telangana","2(f) and 12(B)","1965","Bachelor's","Government",""
"S. Kula Women's College","Manipur University, Imphal","Kongkhampat, Nambol  - 795 134, District Bishnupur","Bishnupur","Manipur","2(f) and 12(B)","1981","Bachelor's","Non Government",""
"S. M. C. C. Government College","Mohan Lal Sukhadia University, Udaipur","ABU Road - 307 026","","Rajasthan","2(f) and 12(B)","1977","Bachelor's","Government","Aided"
"S. Nijalingappa Sugar Institute College of B.Sc. (Sugar Science & Technology)","Rani Channamma University, Vidyasangama","CTS. No. 4125/1B, Ganeshpur Road, Laxmi Tek, Belagavi – 590 009, Karnataka","Belgaum","Karnataka","2(f)","2018","Bachelor's","Non Government","Unaided"
"S. Sinha College","Magadh University, Bodh Gaya","Aurangabad, District Aurangabad","","Bihar","2(f) and 12(B)","1944","Master's","Government",""
"S. Veerasamy Chettiar College of Engineering and Technology","Anna University, Chennai","S.V. Nagar, Dist. – Tirunelveli, Puliangudi – 627 855","","Tamil Nadu","2(f)","2001","Master's","Non Government","Unaided"
"S.A. Engineering College","Anna University, Chennai","Poonamallee - Avadi Road, Veeraraghavapuram, Thiruverkadu Post, Chennai - 600 077","Chennai","Tamil Nadu","2(f) and 12(B)","1998","Master's","Non Government","Unaided"
"S.A. Jain College","Kurukshetra University, Kurukshetra","Ambala City, Dist. Ambala","","Haryana","2(f) and 12(B)","1938","Master's","Non Government",""
"S.A.J. College of Arts & Commerce College","Savitribai Phule Pune University, Pune","Pune -2, Dist. Pune","Pune","Maharashtra","2(f) and 12(B)","1984","Bachelor's","Non Government",""
"S.A.S. Govt. Degree College","Andhra University, Visakhapatnam","Narayanapuram – 534 407, Unguturu Mandal, West Godavari District","West Godavari","Andhra Pradesh","2(f) and 12(B)","1972","Bachelor's","Government","Aided"
"S.A.S. SNDP Yogam College","Mahatma Gandhi University, Kottayam","Konni P.O. No. 16 Konni, Pathanamthitta","","Kerala","2(f) and 12(B)","1995","Bachelor's","Non Government",""
"S.A.V. Acharya Institute of Management Studies","Mumbai University, Mumbai","Veeracharya Technical Education  Campus Opp. Shelu Suburban Railway Station Shelu/Damat, Tal. Karjat, Dist. Raigad – 410 201 Maharashtra","Raigarh","Maharashtra","2(f)","2010","Master's","Non Government","Unaided"
"S.B. Arts & K.C.P. Science College","Karnataka University, Dharwad","Bijapur, Dist. Bijapur","","Karnataka","2(f) and 12(B)","1945","Bachelor's","Non Government",""
"S.B. City College","Rashtrasant Tukadoji Maharaj Nagpur  University, Nagpur","Nagpur - 9, District Nagpur","","Maharashtra","2(f) and 12(B)","1930","Master's","Non Government",""
"S.B. College","Veer Kunwar Singh University, Arrah","Arrah, Dist. Bhojpur","","Bihar","2(f) and 12(B)","1972","Master's","Government",""
"S.B. Deorah College","Gauhati University, Guwahati","Ulubari, Guwahati-781 007","Kamrup","Assam","2(f) and 12(B)","1987","Bachelor's","Non Government",""
"S.B. Education Society's College of Arts & Commerce","Dr. Babasaheb Ambedkar Marathwada University, Aurangabad","Aurangpura, Aurangabad, District Aurangabad - 431 001","","Maharashtra","2(f) and 12(B)","1963","Bachelor's","Non Government",""
"S.B. Garda College (Arts) and P.K. Patel College of Commerce","Veer Narmad South Gujarat University, Surat","Navsari, Dist. Navsari","","Gujarat","2(f) and 12(B)","1945","Master's","Non Government",""
"S.B. Jain Institute of Technology, Management & Research","Rashtrasant Tukadoji Maharaj Nagpur  University, Nagpur","Near Jain International School, Katol Road, Nagpur - 441 501","Nagpur","Maharashtra","2(f)","2008","Master's","Non Government","Aided"
"S.B. Khade Mahavidyalaya","Shivaji University, Kolhapur","Koparde, Tal. Karveer, District Kolhapur","","Maharashtra","2(f) and 12(B)","1985","Bachelor's","Non Government",""
"S.B.C. First Grade College for Women","Davangere University, Davangere","S.S. Layout ‘A’ Block, Davangere - 577004","Davanagere","Karnataka","2(f) and 12(B)","1992","Bachelor's","Non Government",""
"S.B.D. Government College","Maharaja Ganga Singh University,  Bikaner","Sarrdarshahr, District Churu","","Rajasthan","2(f) and 12(B)","1959","Bachelor's","Government","Aided"
"S.B.D.T. College","Rajasthan University, Jaipur","Lachhmangarh, District Sikar","","Rajasthan","2(f) and 12(B)","1961","Master's","Non Government",""
"S.B.E.S. College of Science","Dr. Babasaheb Ambedkar Marathwada University, Aurangabad","Aurangpura, Aurangabad, District Aurangabad - 431 001","","Maharashtra","2(f) and 12(B)","1963","Bachelor's","Non Government","Aided"
"S.B.J. Degree College","Dr. B.R. Ambedkar University, Agra","Bisawar, District Mathura","","Uttar Pradesh","2(f) and 12(B)","1968","Bachelor's","Non Government",""
"S.B.M.S. College","Gauhati University, Guwahati","Sualkuchi, District Kamrup","Kamrup","Assam","2(f) and 12(B)","1963","Bachelor's","Non Government",""
"S.B.R. Government Women's College","Berhampur University, Berhampur","Berhampur (Ganjam), District Ganjam","","Odisha","2(f) and 12(B)","1958","Bachelor's","Government",""
"S.B.R.R. Mahajana First Grade College","Mysore University, Mysore","Mysore, Jayalaksimipuram, Dist. Mysore - 570 012","Mysore","Karnataka","2(f) and 12(B)","1982","Bachelor's","Non Government",""
"S.B.S. Government College","Gaur Banga University, Malda","Hili, P.O. Hili, Dist. Dakshin Dinajpur - 733 126","Dakshin Dinajpur","West Bengal","2(f)","2013","Bachelor's","Government","Aided"
"S.B.S.S.P.S.J. College","Sido Kanhu Murmu University, Dumka","Palhargame Godda","","Jharkhand","2(f) and 12(B)","1980","Bachelor's","Non Government",""
"S.C. Mutha Aryangala Vaidyak Mahavidyalaya","Shivaji University, Kolhapur","Satara, Dist. Satara - 415001","","Maharashtra","2(f) and 12(B)","1963","Bachelor's","Non Government",""
"S.C.A. Patel Arts College","Gujarat University, Ahmedabad","Sadhli, Ta. Sinor, District Vadodara","","Gujarat","2(f) and 12(B)","1998","Bachelor's","Non Government",""
"S.C.D. Government College","Punjab University, Chandigarh","Ludhiana, District Ludhiana","","Punjab","2(f) and 12(B)","1920","Master's","Government",""
"S.C.I.M. Govt. College","Andhra University, Visakhapatnam","Tanuku, District West Godavari - 534 211","West Godavari","Andhra Pradesh","2(f) and 12(B)","1968","Bachelor's","Government",""
"S.C.N.R. Govt. College","Sri Venkateswara University, Tirupati","Proddatur, District Cuddpah","Y.S.R.","Andhra Pradesh","2(f) and 12(B)","1966","Bachelor's","Government",""
"S.C.S. Morning College","Utkal  University,  Bhubaneswar","Puri, District Puri","","Odisha","2(f) and 12(B)","1966","Master's","Government",""
"S.D. Arts & Shah B.R. Commerce College","Hemchandracharya North Gujarat University, Patan","Mansa, Dist. Gandhinagar - 382 845","","Gujarat","2(f) and 12(B)","1960","Master's","Non Government",""
"S.D. Bhadawar Degree College","Dr. B.R. Ambedkar University, Agra","Chhalesar, Kuberpur, Agra – 282 006","","Uttar Pradesh","2(f) and 12(B)","2006","Bachelor's","Non Government",""
"S.D. College","Kurukshetra University, Kurukshetra","Panipat, Dist. Panipat - 132 103","","Haryana","2(f) and 12(B)","1969","Master's","Non Government",""
"S.D. College","Choudhary Charan Singh University, Meerut","Muzaffarnagar, District Muzaffarnagar","","Uttar Pradesh","2(f) and 12(B)","1949","Master's","Non Government",""
"S.D. College","Punjabi University, Patiala","Barnala, District Sangrur","","Punjab","2(f) and 12(B)","1956","Bachelor's","Non Government",""
"S.D. College","Shaheed Nandkumar Patel Vishwavidyalaya, Raigarh","P.O. and Tehsil - Nawagarh Dist. Janjgir-Champa – 495 557 Chhattisgarh","","Chhattisgarh","2(f)","2005","Master's","Non Government","Unaided"
"S.D. College","Punjab University, Chandigarh","Hoshiarpur","","Punjab","2(f) and 12(B)","1973","Bachelor's","Non Government",""
"S.D. College for Women","Punjab University, Chandigarh","Moga","","Punjab","2(f) and 12(B)","1969","Bachelor's","Non Government",""
"S.D. College For Women","Guru Nanak Dev University, Amritsar","Sultanpur Lodhi, District Kapurthala","","Punjab","2(f) and 12(B)","1974","Bachelor's","Non Government",""
"S.D. College of Commerce","Choudhary Charan Singh University, Meerut","Bhopa Road, Muzaffarnagar – 251 001","","Uttar Pradesh","2(f) and 12(B)","2001","Bachelor's","Non Government","Unaided"
"S.D. College of Management Studies","Choudhary Charan Singh University, Meerut","Bhopa Road, Muzaffarnagar – 251 001","","Uttar Pradesh","2(f) and 12(B)","1998","Bachelor's","Non Government","Unaided"
"S.D. College of Pharmacy and Vocational Studies","Dr. A.P.J. Abdul Kalam Technical University, Lucknow","Bhopa Road, Muzaffarnagar - 251 001","Muzaffarnagar","Uttar Pradesh","2(f)","2001","Master's","Non Government","Unaided"
"S.D. Girls Degree College","Choudhary Charan Singh University, Meerut","Budhana, Muzaffarnagar - 251 309","Muzaffarnagar","Uttar Pradesh","2(f) and 12(B)","2010","Bachelor's","Non Government","Unaided"
"S.D. Government College","Maharishi Dayanand Saraswati University, Ajmer","Beawar, District Ajmer","","Rajasthan","2(f) and 12(B)","1955","Master's","Government","Aided"
"S.D. Jain Girls’ College","Nagaland University, Kohima","Jain Temple Road, Dimapur – 797 112","","Nagaland","2(f) and 12(B)","1995","Bachelor's","Non Government","Unaided"
"S.D. Kanya Mahavidyalaya","Punjabi University, Patiala","Mansa, District Bathinda","","Punjab","2(f) and 12(B)","1969","Bachelor's","Non Government",""
"S.D. Mahila Mahavidyalaya","Chaudhary Devi Lal University, Sirsa.","Hansi, Dist. Hisar","","Haryana","2(f) and 12(B)","1970","Bachelor's","Non Government",""
"S.D. Mahila Mahavidyalaya","Chaudhary Devi Lal University, Sirsa.","Narwana, Dist. Jind","","Haryana","2(f) and 12(B)","1973","Bachelor's","Non Government",""
"S.D. Shethia College of Education","Krantiguru Shyamji Krishna Verma Kachchh University, Bhuj-Kachchh","Mundra, Dist. Kutch - 370 421","","Gujarat","2(f) and 12(B)","1970","Bachelor's","Non Government",""
"S.D.G.S. College","Sri Krishnadevaraya University, Anantapur","Hindpur, District Anantapur - 515 201","Anantapur","Andhra Pradesh","2(f) and 12(B)","1965","Bachelor's","Non Government",""
"S.D.J. P.G. College","Veer Bahadur Singh Purvanchal University, Jaunpur","Chandeshar, District Azamgarh","","Uttar Pradesh","2(f) and 12(B)","1958","Master's","Non Government",""
"S.D.M. College of Arts, Science & Commerce","Karnataka University, Dharwad","Honavar, Dist. Karwar - 581 334","","Karnataka","2(f) and 12(B)","1964","Bachelor's","Non Government",""
"S.D.M. College of Engineering and Technology","Visvesvaraya Technological University, Belgaum","Davalgiri, Dharwad - 580 002, Dist. Dharwad","","Karnataka","2(f) and 12(B)","1979","Bachelor's","Non Government","Unaided"
"S.D.M. Institute of Technology","Visvesvaraya Technological University, Belgaum","Ujire – 574 240, Dakshina Kanada","Dakshina Kannada","Karnataka","2(f)","2007","Bachelor's","Non Government","Unaided"
"S.D.M. Trust’s S.D.M. College of Education","Rani Channamma University, Vidyasangama","Terdal – 587 315, District Bagalkot","Bagalkot","Karnataka","2(f)","2004","Bachelor's","Non Government","Unaided"
"S.D.P. College for Women","Punjab University, Chandigarh","Ludhiana","","Punjab","2(f) and 12(B)","1968","Master's","Non Government",""
"S.D.P.T. First Grade College","Mangalore University, Mangalagangothri","Kateel, Dist. Dakshin Kannad - 574 148","","Karnataka","2(f) and 12(B)","1988","Master's","Non Government",""
"S.D.S. College of Arts & Applied Sciences","Andhra University, Visakhapatnam","Sriramnagar, Garividi, District Vizianagaram - 532 101","Vizianagaram","Andhra Pradesh","2(f) and 12(B)","1975","Bachelor's","Non Government",""
"S.D.S. Degree College","Dr. B.R. Ambedkar University, Agra","Kosi Khurd, Dist. Mathura – 281 005","","Uttar Pradesh","2(f) and 12(B)","2008","Bachelor's","Non Government","Unaided"
